"کد (ID)","نام ماده اولیه","دسته‌بندی","واحد پیش‌فرض","نسبت‌های تبدیل واحد (مفصل)"
"48","شلغم","سبزیجات و صیفی‌جات","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"49","چغندر (لبو)","سبزیجات و صیفی‌جات","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"50","گل کلم","سبزیجات و صیفی‌جات","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"51","کلم بروکلی","سبزیجات و صیفی‌جات","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"52","کلم برگ سفید","سبزیجات و صیفی‌جات","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"53","کلم برگ قرمز","سبزیجات و صیفی‌جات","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"54","کلم قمری","سبزیجات و صیفی‌جات","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"55","نخود فرنگی تازه","سبزیجات و صیفی‌جات","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"56","ذرت بلال","سبزیجات و صیفی‌جات","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"57","لوبیای سبز","سبزیجات و صیفی‌جات","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"58","بامیه تازه","سبزیجات و صیفی‌جات","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"59","کنگر تازه","سبزیجات و صیفی‌جات","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"60","پیازچه","سبزیجات و صیفی‌جات","دسته","۱ دسته = ۵۰ گرم (حدودی) | ۰.۰۵ کیلوگرم (پایه عمومی)"
"61","تره فرنگی","سبزیجات و صیفی‌جات","دسته","۱ دسته = ۵۰ گرم (حدودی) | ۰.۰۵ کیلوگرم (پایه عمومی)"
"62","برگ مو (برگ تاک)","سبزیجات و صیفی‌جات","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"63","سیر کوهی (والک)","سبزیجات و صیفی‌جات","دسته","۱ دسته = ۵۰ گرم (حدودی) | ۰.۰۵ کیلوگرم (پایه عمومی)"
"64","ریواس تازه","سبزیجات و صیفی‌جات","دسته","۱ دسته = ۵۰ گرم (حدودی) | ۰.۰۵ کیلوگرم (پایه عمومی)"
"65","زیتون سبز بدون هسته","سبزیجات و صیفی‌جات","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"66","زیتون سیاه","سبزیجات و صیفی‌جات","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"67","زیتون پرورده","سبزیجات و صیفی‌جات","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"68","جوانه گندم","سبزیجات و صیفی‌جات","بسته","۱ بسته = ۲۰۰ گرم | ۱ عدد بسته (پایه عمومی)"
"69","جوانه ماش","سبزیجات و صیفی‌جات","بسته","۱ بسته = ۲۰۰ گرم | ۱ عدد بسته (پایه عمومی)"
"70","آووکادو","سبزیجات و صیفی‌جات","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"71","گوشت گوسفندی (ران)","گوشت قرمز و ماکیان","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"72","گوشت گوسفندی (سردست)","گوشت قرمز و ماکیان","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"73","گوشت گوسفندی (گردن)","گوشت قرمز و ماکیان","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"74","گوشت گوسفندی (ماهیچه)","گوشت قرمز و ماکیان","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"75","دنده گوسفندی (شیشلیک)","گوشت قرمز و ماکیان","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"76","فیله گوسفندی","گوشت قرمز و ماکیان","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"77","گوشت گوساله (راسته)","گوشت قرمز و ماکیان","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"78","گوشت گوساله (فیله)","گوشت قرمز و ماکیان","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"79","گوشت گوساله (ران)","گوشت قرمز و ماکیان","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"80","گوشت چرخ‌کرده گوسفندی","گوشت قرمز و ماکیان","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"81","گوشت چرخ‌کرده مخلوط","گوشت قرمز و ماکیان","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"82","گوشت چرخ‌کرده گوساله","گوشت قرمز و ماکیان","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"83","سیرابی و شیردان","گوشت قرمز و ماکیان","دست","طبق فرمول عمومی واحد دست"
"84","کله پاچه کامل","گوشت قرمز و ماکیان","دست","طبق فرمول عمومی واحد دست"
"85","دل گوسفند","گوشت قرمز و ماکیان","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"86","قلوه گوسفند","گوشت قرمز و ماکیان","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"87","جگر گوسفند","گوشت قرمز و ماکیان","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"88","دنبه گوسفندی","گوشت قرمز و ماکیان","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"89","مرغ کامل پاک‌شده","گوشت قرمز و ماکیان","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"90","سینه مرغ با استخوان","گوشت قرمز و ماکیان","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"91","سینه مرغ بدون استخوان","گوشت قرمز و ماکیان","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"92","ران مرغ کامل","گوشت قرمز و ماکیان","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"93","فیله مرغ ممتاز","گوشت قرمز و ماکیان","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"94","بال مرغ","گوشت قرمز و ماکیان","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"95","کتف مرغ","گوشت قرمز و ماکیان","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"96","گردن مرغ","گوشت قرمز و ماکیان","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"97","جگر مرغ","گوشت قرمز و ماکیان","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"98","سنگدان مرغ","گوشت قرمز و ماکیان","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"99","سینه بوقلمون","گوشت قرمز و ماکیان","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"100","ران بوقلمون","گوشت قرمز و ماکیان","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"101","گوشت چرخ‌کرده بوقلمون","گوشت قرمز و ماکیان","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"102","گوشت بلدرچین","گوشت قرمز و ماکیان","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"103","گوشت کبک","گوشت قرمز و ماکیان","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"104","گوشت شتر","گوشت قرمز و ماکیان","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"105","گوشت شترمرغ","گوشت قرمز و ماکیان","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"106","سوسیس آلمانی","گوشت قرمز و ماکیان","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"107","سوسیس کوکتل پنیری","گوشت قرمز و ماکیان","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"108","سوسیس بلغاری","گوشت قرمز و ماکیان","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"109","کالباس خشک ممتاز","گوشت قرمز و ماکیان","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"110","ژامبون مرغ","گوشت قرمز و ماکیان","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"111","ژامبون گوشت","گوشت قرمز و ماکیان","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"112","هات داگ شکاری","گوشت قرمز و ماکیان","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"113","پپرونی تند","گوشت قرمز و ماکیان","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"114","بیکن گوشت","گوشت قرمز و ماکیان","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"115","ناگت مرغ آماده","گوشت قرمز و ماکیان","بسته","۱ بسته = ۲۰۰ گرم | ۱ عدد بسته (پایه عمومی)"
"116","ماهی قزل‌آلا پرورشی","ماهی و مأکولات دریایی","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"117","ماهی قزل‌آلا سالمون","ماهی و مأکولات دریایی","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"118","ماهی سفید شمال","ماهی و مأکولات دریایی","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"119","ماهی شیر جنوب","ماهی و مأکولات دریایی","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"120","ماهی حلوا سفید (زبیدی)","ماهی و مأکولات دریایی","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"121","ماهی حلوا سیاه","ماهی و مأکولات دریایی","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"122","ماهی شوریده","ماهی و مأکولات دریایی","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"123","ماهی سنگسر","ماهی و مأکولات دریایی","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"124","ماهی هامور","ماهی و مأکولات دریایی","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"125","ماهی قباد","ماهی و مأکولات دریایی","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"126","ماهی تیلاپیا","ماهی و مأکولات دریایی","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"127","ماهی کیلکا","ماهی و مأکولات دریایی","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"128","ماهی صبور","ماهی و مأکولات دریایی","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"129","ماهی سرخو","ماهی و مأکولات دریایی","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
